Name Score
Hans 3.01
Hans 6.19
Hans 18.21
Hans 8.05
Hans 7.85
Hans 8.19
Hans 8.32
Hans 8.08
Hans 8.10
Hans 8.17
Hans 8.19
Hans 8.20
Hans 8.22
Hans 8.23
Hans 8.25
Hans 8.27
Hans 8.28
Hans 8.32
Hans 8.33
Hans 8.35
Hans 8.37
Hans 8.38
Hans 8.40
Hans 8.42
Hans 8.43
Hans 8.45
Hans 8.47
Hans 8.48
Hans 8.50
Hans 8.52
Hans 8.55
Hans 8.57
Hans 8.58
Hans 8.74
Hans 8.75
Hans 8.77
Hans 8.79
Hans 8.80
Hans 8.82
Hans 8.83
Hans 8.85
Hans 8.87
Hans 8.88
Hans 8.92
Hans 8.93
Hans 8.95
Hans 8.97
Hans 8.98
Hans 9.00
Hans 9.04
Hans 9.05
Hans 9.07
Hans 9.08
Hans 9.10
Hans 9.12
Hans 9.14
Hans 9.15
Hans 9.17
Hans 9.19
Hans 9.20
Hans 9.22
Hans 9.24
Hans 9.25
Hans 9.27
Hans 9.28
Hans 9.30
Hans 9.34
Hans 9.35
Hans 9.37
Hans 9.39
Hans 9.40
Hans 9.42
Hans 9.44
Hans 9.45
Hans 9.50
Hans 9.52
Hans 9.54
Hans 9.55
Hans 9.57
Hans 9.59
Hans 9.60
Hans 9.62
Hans 9.63
Hans 9.65
Hans 9.67
Hans 9.68
Hans 9.70
Hans 9.72
Hans 9.74
Hans 9.75
Hans 9.77
Hans 9.79
Hans 9.80
Hans 9.82
Hans 9.84
Hans 9.85
Hans 9.87
Hans 9.89
Hans 9.90
Hans 9.92
Hans 9.93
Hans 9.95
Hans 9.97
Hans 9.99
Hans 10.00
Hans 10.02
Hans 10.04
Hans 10.05
Hans 10.07
Hans 10.10
Hans 10.12
Hans 10.14
Hans 10.15
Hans 10.15
Hans 10.17
Hans 10.17
Hans 10.19
Hans 10.19
Hans 10.20
Hans 10.20
Hans 10.22
Hans 10.22
Hans 10.25
Hans 10.25
Hans 10.27
Hans 10.27
Hans 10.30
Hans 10.30
Hans 10.34
Hans 10.34
Hans 10.37
Hans 10.37
Hans 10.42
Hans 10.42
Hans 10.47
Hans 10.47
Hans 10.50
Hans 10.50
Hans 10.52
Hans 10.52
Hans 10.54
Hans 10.54
Hans 10.55
Hans 10.55
Hans 10.58
Hans 10.58
Hans 10.60
Hans 10.60
Hans 10.62
Hans 10.62
Hans 10.65
Hans 10.65
Hans 10.69
Hans 10.69
Hans 10.72
Hans 10.72
Hans 10.75
Hans 10.75
Hans 10.77
Hans 10.77
Hans 10.80
Hans 10.80
Hans 10.82
Hans 10.82
Hans 10.84
Hans 10.84
Hans 10.87
Hans 10.87
Hans 10.89
Hans 10.89
Hans 10.89
Hans 10.90
Hans 10.90
Hans 10.90
Hans 10.94
Hans 10.94
Hans 10.94
Hans 10.97
Hans 10.97
Hans 10.97
Hans 11.04
Hans 11.04
Hans 11.04
Hans 11.10
Hans 11.10
Hans 11.10
Hans 11.15
Hans 11.15
Hans 11.15
Hans 11.19
Hans 11.19
Hans 11.19
Hans 11.22
Hans 11.22
Hans 11.22
Hans 11.25
Hans 11.25
Hans 11.25
Hans 11.29
Hans 11.29
Hans 11.29
Hans 11.32
Hans 11.32
Hans 11.32
Hans 11.35
Hans 11.35
Hans 11.35
Hans 11.39
Hans 11.39
Hans 11.39
Hans 11.42
Hans 11.42
Hans 11.42
Hans 11.47
Hans 11.47
Hans 11.47
Hans 11.52
Hans 11.52
Hans 11.52
Hans 11.55
Hans 11.55
Hans 11.55
Hans 11.59
Hans 11.59
Hans 11.59
Hans 11.62
Hans 11.62
Hans 11.62
Hans 11.65
Hans 11.65
Hans 11.65
Hans 11.72
Hans 11.72
Hans 11.72
Hans 11.75
Hans 11.75
Hans 11.75
Hans 11.79
Hans 11.79
Hans 11.79
Hans 11.82
Hans 11.82
Hans 11.82
Hans 11.87
Hans 11.87
Hans 11.87
Hans 11.92
Hans 11.92
Hans 11.92
Hans 12.00
Hans 12.00
Hans 12.00
Hans 12.04
Hans 12.04
Hans 12.04
Hans 12.07
Hans 12.07
Hans 12.07
Hans 12.12
Hans 12.12
Hans 12.12
Hans 12.15
Hans 12.15
Hans 12.15
Hans 12.19
Hans 12.19
Hans 12.19
Hans 12.22
Hans 12.22
Hans 12.22
Hans 12.25
Hans 12.25
Hans 12.25
Hans 12.29
Hans 12.29
Hans 12.29
Hans 12.32
Hans 12.32
Hans 12.32
Hans 12.35
Hans 12.35
Hans 12.35
Hans 12.40
Hans 12.40
Hans 12.40
Hans 12.45
Hans 12.45
Hans 12.45
Hans 12.50
Hans 12.50
Hans 12.50
Hans 12.54
Hans 12.54
Hans 12.54
Hans 12.57
Hans 12.57
Hans 12.57
Hans 12.60
Hans 12.60
Hans 12.60
Hans 12.64
Hans 12.64
Hans 12.64
Hans 12.67
Hans 12.67
Hans 12.67
Hans 12.70
Hans 12.70
Hans 12.70
Hans 12.74
Hans 12.74
Hans 12.74
Hans 12.80
Hans 12.80
Hans 12.80
Hans 12.89
Hans 12.89
Hans 12.89
Hans 12.89
Hans 12.94
Hans 12.94
Hans 12.94
Hans 12.94
Hans 13.00
Hans 13.00
Hans 13.00
Hans 13.00
Hans 13.04
Hans 13.04
Hans 13.04
Hans 13.04
Hans 49.09
Hans 37.99
Hans 40.70
Hans 35.95
Hans 24.79
